Work Item Type,Title 1,Title 2,Title 3,Description,Acceptance Criteria,Story Points,Priority,Tags
Epic,E01 - Product Foundation & Design System,,,"<p>Create a consistent, bilingual, accessible foundation shared by web, mobile and authentication experiences.</p>",,,1,HerdCommand;R0;Epic
Feature,,F01 - Design System Foundations,,"<p>Define reusable tokens, components and interaction rules derived from the HerdCommand visual direction.</p>",,,2,HerdCommand;R0;Feature
User Story,,,US001 - Define design tokens and semantic roles,"<p><strong>As a</strong> Product designer, <strong>I want</strong> a governed set of color, spacing, radius, typography and elevation tokens, <strong>so that</strong> all product surfaces remain visually consistent.</p>","<ul><li>Tokens cover color, typography, spacing, radius, elevation, border and motion.</li><li>Semantic tokens are separated from raw palette values.</li><li>Tokens include web and mobile mappings.</li><li>Token names are documented and versioned.</li><li>Where UI is present, Arabic is supported as the default RTL experience and English is supported as LTR.</li></ul>",3,1,HerdCommand;R0;Design-System;UI
User Story,,,US002 - Build reusable core component library,"<p><strong>As a</strong> Frontend developer, <strong>I want</strong> reusable buttons, inputs, cards, badges, tables and overlays, <strong>so that</strong> screens can be delivered consistently and faster.</p>","<ul><li>Components include states: default, hover/pressed, focus, disabled, loading and error where applicable.</li><li>Component variants use design tokens rather than hard-coded values.</li><li>Components meet keyboard and touch interaction requirements.</li><li>Examples are documented for web and mobile.</li><li>Where UI is present, Arabic is supported as the default RTL experience and English is supported as LTR.</li></ul>",8,1,HerdCommand;R0;Design-System;Web;Mobile;UI
User Story,,,US003 - Define responsive layout system,"<p><strong>As a</strong> Product designer, <strong>I want</strong> documented grid and breakpoint rules, <strong>so that</strong> web screens adapt predictably across supported viewport sizes.</p>","<ul><li>Desktop, tablet and mobile breakpoints are defined.</li><li>Page max-width, gutters and column behavior are documented.</li><li>Tables define responsive behavior for narrow screens.</li><li>No critical action becomes unreachable at supported sizes.</li><li>Where UI is present, Arabic is supported as the default RTL experience and English is supported as LTR.</li></ul>",5,2,HerdCommand;R0;Design-System;Web;Responsive;UI
User Story,,,US004 - Define accessibility baseline,"<p><strong>As a</strong> Product owner, <strong>I want</strong> an accessibility standard for the product, <strong>so that</strong> users can operate the product with fewer barriers.</p>","<ul><li>Target WCAG 2.2 AA for core workflows.</li><li>Visible focus styles are defined.</li><li>Minimum touch target is 44x44 CSS pixels for primary interactive controls.</li><li>Color is not the only carrier of status meaning.</li><li>Form errors are programmatically associated with fields.</li><li>Where UI is present, Arabic is supported as the default RTL experience and English is supported as LTR.</li></ul>",5,1,HerdCommand;R0;Design-System;Accessibility;UI
Feature,,F02 - Localization & RTL Foundation,,<p>Make Arabic the default experience while supporting complete English LTR behavior.</p>,,,2,HerdCommand;R0;Feature
User Story,,,US005 - Set Arabic as default product locale,"<p><strong>As a</strong> Farm user, <strong>I want</strong> the application to open in Arabic by default, <strong>so that</strong> I can use the product immediately in my preferred default language.</p>","<ul><li>New unauthenticated sessions default to Arabic unless an explicit saved preference exists.</li><li>Arabic pages render with RTL direction.</li><li>Locale preference persists after sign-in.</li><li>English remains selectable from supported language controls.</li><li>Where UI is present, Arabic is supported as the default RTL experience and English is supported as LTR.</li></ul>",3,1,HerdCommand;R0;Arabic;RTL;Web;Mobile;UI
User Story,,,US006 - Support complete English LTR experience,"<p><strong>As a</strong> Farm user, <strong>I want</strong> to switch the product to English, <strong>so that</strong> I can work in English without layout defects.</p>","<ul><li>Language can be switched without losing the current task where technically feasible.</li><li>English pages render LTR.</li><li>Navigation, forms, tables, dialogs and charts remain usable after switching.</li><li>Preference persists per user.</li><li>Where UI is present, Arabic is supported as the default RTL experience and English is supported as LTR.</li></ul>",5,1,HerdCommand;R0;English;LTR;Web;Mobile;UI
User Story,,,US007 - Localize validation and system messages,"<p><strong>As a</strong> Farm user, <strong>I want</strong> validation, success and error messages in my selected language, <strong>so that</strong> I understand what happened and what action to take.</p>","<ul><li>Required-field, format, authorization and server error messages are localized.</li><li>No raw backend exception is shown to end users.</li><li>Fallback behavior is defined for missing translations.</li><li>Arabic and English copy is reviewed for terminology consistency.</li><li>Where UI is present, Arabic is supported as the default RTL experience and English is supported as LTR.</li></ul>",5,2,HerdCommand;R0;Localization;Web;Mobile;Keycloak;UI
User Story,,,US008 - Define RTL interaction rules,"<p><strong>As a</strong> Frontend developer, <strong>I want</strong> explicit RTL behavior for components and data, <strong>so that</strong> Arabic screens behave naturally rather than being mechanically mirrored.</p>","<ul><li>Navigation order, alignment and directional icons have documented RTL rules.</li><li>Numbers, IDs, QR/RFID values, email addresses and technical codes preserve readable direction.</li><li>Charts and timelines define RTL behavior.</li><li>Directional icons are mirrored only where meaning requires it.</li><li>Where UI is present, Arabic is supported as the default RTL experience and English is supported as LTR.</li></ul>",5,2,HerdCommand;R0;RTL;Design-System;UI
Feature,,F03 - Engineering Foundation,,"<p>Establish code, API, environment and delivery conventions for the product.</p>",,,2,HerdCommand;R0;Feature
User Story,,,US009 - Create solution repository structure,"<p><strong>As a</strong> Developer, <strong>I want</strong> a clear repository structure for web, mobile, backend and authentication theme, <strong>so that</strong> the codebase is maintainable from the first release.</p>","<ul><li>Repositories or monorepo boundaries are documented.</li><li>Shared linting, formatting and commit conventions are configured.</li><li>Secrets are excluded from source control.</li><li>README includes local startup instructions.</li></ul>",3,1,HerdCommand;R0;Engineering;DevEx
User Story,,,US010 - Establish API contract standard,"<p><strong>As a</strong> Developer, <strong>I want</strong> a consistent REST/OpenAPI contract, <strong>so that</strong> web and mobile can integrate predictably with Spring Boot.</p>","<ul><li>OpenAPI is generated and versioned.</li><li>Error response shape is standardized.</li><li>Pagination, sorting and filtering conventions are documented.</li><li>Date/time and identifier formats are standardized.</li></ul>",5,1,HerdCommand;R0;Backend;API;Spring-Boot
User Story,,,US011 - Create CI quality gates,"<p><strong>As a</strong> Developer, <strong>I want</strong> automated checks on every pull request, <strong>so that</strong> defects are caught before merge.</p>","<ul><li>Build, lint and automated test jobs run for affected applications.</li><li>Failed quality gates block merge.</li><li>Artifacts are versioned.</li><li>Pipeline does not expose secrets in logs.</li></ul>",5,1,HerdCommand;R0;DevOps;CI-CD
User Story,,,US012 - Define environment configuration strategy,"<p><strong>As a</strong> Developer, <strong>I want</strong> separate local, dev, test and production configuration, <strong>so that</strong> deployments are repeatable and safe.</p>",<ul><li>Environment-specific values are externalized.</li><li>Secrets are stored outside source control.</li><li>Local development has documented defaults.</li><li>Production configuration changes are auditable.</li></ul>,3,2,HerdCommand;R0;DevOps;Security;Configuration
Epic,"E02 - Identity, Access & Onboarding",,,"<p>Provide secure authentication, authorization, user setup and first-run experience using Keycloak.</p>",,,1,HerdCommand;R0;Epic
Feature,,F04 - Branded Keycloak Authentication,,<p>Deliver a branded OIDC login experience aligned with the HerdCommand UI.</p>,,,2,HerdCommand;R0;Feature
User Story,,,US013 - Implement HerdCommand Keycloak login theme,"<p><strong>As a</strong> Farm user, <strong>I want</strong> the authentication screen to match the HerdCommand visual design, <strong>so that</strong> login feels like part of the product.</p>","<ul><li>Login theme uses HerdCommand logo, colors, typography and spacing.</li><li>Arabic is default and RTL is correct; English LTR is supported.</li><li>Username/email and password fields use Keycloak-managed authentication.</li><li>Validation, loading and disabled states are styled consistently.</li><li>Where UI is present, Arabic is supported as the default RTL experience and English is supported as LTR.</li></ul>",8,1,HerdCommand;R0;Keycloak;Authentication;UI;Arabic;RTL
User Story,,,US014 - Implement OIDC authorization code flow with PKCE,"<p><strong>As a</strong> Developer, <strong>I want</strong> web and mobile clients to use a secure standard login flow, <strong>so that</strong> credentials are not handled directly by application code.</p>",<ul><li>Authorization Code + PKCE is used for public clients.</li><li>Access token is used for protected API calls.</li><li>ID token is used only for authenticated identity context.</li><li>Token refresh and logout behavior are implemented safely.</li></ul>,8,1,HerdCommand;R0;Keycloak;OIDC;OAuth2;Security
User Story,,,US015 - Support forgot password flow,"<p><strong>As a</strong> Farm user, <strong>I want</strong> to reset a forgotten password, <strong>so that</strong> I can regain access without administrator intervention.</p>","<ul><li>Forgot password is available from login when enabled.</li><li>Reset flow is completed through Keycloak.</li><li>Success and failure messages are localized.</li><li>Expired or reused reset links are handled safely.</li><li>Where UI is present, Arabic is supported as the default RTL experience and English is supported as LTR.</li></ul>",5,2,HerdCommand;R0;Keycloak;Authentication;UI
User Story,,,US016 - Handle session expiration and logout,"<p><strong>As a</strong> Farm user, <strong>I want</strong> clear session behavior, <strong>so that</strong> I know when I need to sign in again.</p>","<ul><li>Logout terminates the intended application session.</li><li>Expired sessions redirect to authentication without exposing protected content.</li><li>Unsaved-work behavior is defined for interactive forms.</li><li>Session messages are localized.</li><li>Where UI is present, Arabic is supported as the default RTL experience and English is supported as LTR.</li></ul>",5,1,HerdCommand;R0;Keycloak;Session;Security;UI
Feature,,F05 - Roles & Permissions,,<p>Control access according to each team member’s responsibilities.</p>,,,2,HerdCommand;R1;Feature
User Story,,,US017 - Define standard application roles,"<p><strong>As a</strong> Farm administrator, <strong>I want</strong> standard roles for owner, manager, veterinarian, worker, accountant and administrator, <strong>so that</strong> permissions are understandable and manageable.</p>",<ul><li>A permission matrix is documented for standard roles.</li><li>Backend authorization enforces protected operations.</li><li>UI hides or disables actions the user cannot perform without relying on UI as the security boundary.</li><li>Role changes take effect according to the documented session policy.</li></ul>,8,1,HerdCommand;R1;RBAC;Security;Admin
User Story,,,US018 - Invite a team member,"<p><strong>As a</strong> Farm administrator, <strong>I want</strong> to invite a new team member, <strong>so that</strong> they can join the farm with the correct role.</p>","<ul><li>Admin enters invitee identity and role.</li><li>Invitation has an expiry policy.</li><li>User joins only the intended farm context.</li><li>Duplicate or invalid invitations are handled.</li><li>Where UI is present, Arabic is supported as the default RTL experience and English is supported as LTR.</li></ul>",5,2,HerdCommand;R1;Team;RBAC;Web;UI
